time,x-axis,y-axis,z-axis,Event1,Event2
914.115 , 4.67 , 1.99 , 10.3,0,0
914.178 , 3.75 , 2.79 , 9.46,0,0
914.2420000000001 , 3.75 , 2.37 , 8.92,0,0
914.3050000000001 , 3.71 , 2.18 , 8.65,0,0
914.368 , 3.48 , 2.45 , 9.76,0,0
914.432 , 2.49 , 2.79 , 8.31,0,0
914.496 , 2.72 , 2.79 , 9.23,0,0
914.559 , 2.37 , 2.68 , 9.38,0,0
914.623 , 2.18 , 2.79 , 8.96,0,0
914.686 , 2.41 , 2.79 , 9.3,0,0
914.749 , 2.91 , 3.1 , 9.8,0,0
914.812 , 2.6 , 2.49 , 9.26,0,0
914.876 , 3.14 , 1.9100000000000001 , 9.88,0,0
914.939 , 2.87 , 2.49 , 9.15,0,0
915.003 , 3.14 , 2.6 , 9.49,0,0
915.066 , 2.72 , 2.7600000000000002 , 8.92,0,0
915.13 , 2.5300000000000002 , 2.7600000000000002 , 9.26,0,0
915.193 , 2.56 , 2.91 , 9.23,0,0
915.256 , 2.7600000000000002 , 2.6 , 9.23,0,0
915.3190000000001 , 2.87 , 2.45 , 9.15,0,0
915.383 , 3.14 , 2.6 , 9.42,0,0
915.446 , 2.95 , 2.6 , 9.23,0,0
915.509 , 3.22 , 2.45 , 9.15,0,0
915.573 , 3.33 , 2.49 , 9.03,0,0
915.636 , 3.37 , 2.45 , 9.38,0,0
915.6990000000001 , 3.1 , 2.72 , 8.65,0,0
915.763 , 2.99 , 2.68 , 9.26,0,0
915.826 , 2.6 , 2.91 , 9.0,0,0
915.889 , 2.64 , 2.7600000000000002 , 8.92,0,0
915.953 , 2.83 , 2.6 , 8.88,0,0
916.016 , 3.02 , 2.68 , 9.15,0,0
916.0790000000001 , 3.25 , 2.79 , 8.61,0,0
916.142 , 3.48 , 2.6 , 8.46,0,0
916.206 , 3.68 , 2.37 , 8.27,0,0
916.269 , 3.98 , 2.49 , 9.0,0,0
916.333 , 3.98 , 2.68 , 8.5,0,0
916.397 , 3.9 , 2.6 , 8.77,0,0
916.46 , 3.48 , 2.95 , 8.65,0,0
916.523 , 3.29 , 2.7600000000000002 , 8.92,0,0
916.587 , 3.29 , 2.49 , 8.46,0,0
916.65 , 3.14 , 2.3000000000000003 , 8.0,0,0
916.714 , 3.56 , 1.9100000000000001 , 8.84,0,0
916.777 , 3.79 , 2.07 , 8.27,0,0
916.84 , 4.63 , 1.8 , 8.38,0,0
916.903 , 5.21 , 1.95 , 7.92,0,0
916.966 , 5.47 , 1.8800000000000001 , 8.23,0,0
917.03 , 5.47 , 2.11 , 8.61,0,0
917.0930000000001 , 5.05 , 1.3800000000000001 , 8.38,0,0
917.157 , 4.9 , 0.92 , 8.23,0,0
917.22 , 4.75 , 1.26 , 8.540000000000001,0,0
917.283 , 4.5200000000000005 , 1.53 , 8.23,0,0
917.347 , 4.5600000000000005 , 1.03 , 8.23,0,0
917.41 , 4.71 , 0.77 , 8.38,0,0
917.475 , 4.5200000000000005 , 1.0 , 8.77,0,0
917.538 , 4.36 , 1.0 , 8.540000000000001,0,0
917.602 , 4.59 , 0.65 , 9.15,0,0
917.665 , 4.33 , 0.65 , 8.96,0,0
917.729 , 4.0200000000000005 , 0.54 , 8.35,0,0
917.792 , 4.4 , 0.5700000000000001 , 8.92,0,0
917.855 , 4.17 , 0.77 , 8.38,0,0
917.918 , 4.44 , 0.23 , 8.8,0,0
917.982 , 4.29 , 0.46 , 8.38,0,0
918.0450000000001 , 4.75 , 0.38 , 9.03,0,0
918.109 , 4.67 , 0.38 , 9.03,0,0
918.173 , 5.13 , 0.5 , 8.38,0,0
918.236 , 5.13 , 0.6900000000000001 , 8.35,0,0
918.299 , 4.94 , 0.61 , 8.42,0,0
918.362 , 5.05 , 0.92 , 8.61,0,0
918.426 , 4.71 , 1.49 , 7.73,0,0
918.489 , 4.98 , 1.6500000000000001 , 8.42,0,0
918.552 , 4.94 , 1.6500000000000001 , 7.62,0,0
918.616 , 5.01 , 0.5700000000000001 , 8.040000000000001,0,0
918.679 , 5.05 , 0.27 , 9.69,0,0
918.7420000000001 , 5.93 , 0.8 , 11.48,0,0
918.806 , 5.51 , 1.8800000000000001 , 9.38,0,0
918.869 , 5.51 , 1.34 , 8.61,0,0
918.933 , 5.82 , 1.49 , 6.8500000000000005,0,0
918.996 , 5.32 , 1.61 , 3.64,0,0
919.059 , 4.59 , 1.57 , 2.79,0,0
919.1220000000001 , 4.33 , 2.2600000000000002 , 3.29,0,0
919.186 , 4.94 , 2.45 , 6.09,0,0
919.249 , 4.98 , 2.2600000000000002 , 9.72,0,0
919.313 , 5.86 , 0.96 , 10.370000000000001,0,0
919.376 , 7.8500000000000005 , 0.92 , 11.790000000000001,0,0
919.44 , 7.69 , 1.9100000000000001 , 13.21,0,0
919.503 , 7.54 , 2.99 , 11.03,0,0
919.567 , 6.58 , 1.3800000000000001 , 7.890000000000001,0,0
919.63 , 6.09 , 0.5 , 7.46,0,0
